movie_title,genres,imdb_score,title_year,music genre,song,artist,year,Rating,ISBN,Book-Title,Book-Author,book genre,Rating
Towering Inferno,Comedy,9.5,2016,rock,We will rock you,queen,1977,9.5,60930365,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,Biography,9.4
The Shawshank Redemption,Crime,9.3,2016,rap,Lose Yourself,eminem,2002,9.3,399135782,To Kill a Mokingbird,Amy Tan,Fiction,8.8
The Godfather,Crime,9.2,2016,pop,uptown funk,mark ronson featuring bruno mars,2015,9.2,887841740,Nineteen Eighty,Sheila Heti,Fiction,8.7
Kickboxer: Vengeance,Action,9.1,2016,rap,watch me,silento,2015,9.2,804106304,The Lord of the Rings,Amy Tan,Fiction,8.7
Dekalog,Drama,9.1,2016,rap,God’s Plan,Drake,2018,9.2,345260317,Sapiens,Carl Sagan,Non Fiction,8.5
Dekalog,Drama,9.1,2016,pop,Eastside,Benny Blanco,2018,9.1,743403843,Decipher,Stel Pavlou,Thriller,8.5
The Man from U.N.C.L.E.,Action,9,2016,latin pop,Despacito,Luis Fonsi,2017,9.1,375410538,Anil's Ghost,MICHAEL ONDAATJE,Histroy,8.4
The Hateful Eight,Crime,9,2016,latin pop,bailando,Enrique iglesias ,1993,9.1,068986020X,Gingerbread,Rachel Cohn,Thriller,8.4
Safe House,Action,9,2016,rap,Lucid Dreams,Juice Wrld,2017,9,60973129,In Cold Blood,Carlo D'Este,Crime,8.2
Due Date,Comedy,9,2016,rock,Welcome to the jungle,Guns & roses,1993,9,375509038,The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,Biography,8.2
The Dark Knight,Action,9,2016,rap,Not Afraid,eminem,2010,9,689821166,Jane Eyre,Kathleen Duey,Fiction,8.1
We Are Marshall,Drama,9,2016,country,Blue aint your color,Keith Urban,2013,8.9,440223571,Beloved,Maeve Binchy,Fiction,8.1
War of the Worlds,Adventure,9,2016,pop,shape of you,ed sheeran,2009,8.9,245542957,Pacific Northwest,Hans Johannes Hoefer,Suspense,8.1
Hellboy,Action,9,2016,rock,Sweet Child o’mine,Guns & roses,1998,8.9,2070423204,Lieux dits,Michel Tournier,Fiction,8.1
Minority Report,Action,9,2016,latin pop,"Whenever, wherever",Shakira,2001,8.9,340767936,Turning Thirty,Mike Gayle,Comedy,8.1
Days of Thunder,Action,9,2016,latin pop,Do you know,Enrique iglesias ,1968,8.9,393045218,The Mummies of Urumchi,E. J. W. Barber,Fiction,8
The Godfather: Part II,Crime,9,2016,pop,Hey Jude,the beatles,``1968,8.8,375406328,Lying Awake,Mark Salzman,Fiction,8
Fargo,Crime,9,2016,EDM,wake me up,avicii,2103,8.8,449005615,Outlander,LAURA HILLENBRAND,Romance,8
The Lord of the Rings: The Return of the King,Action,8.9,2016,rock,Smells Like Teen Spirit,Nirvana,1983,8.8,553280333,Getting Well Again,O. Carol Simonton Md,Biography,8
Pulp Fiction,Crime,8.9,2016,latin pop,Loca,Shakira,1973,8.8,60177586,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,Biography,8
Schindler's List,Biography,8.9,2016,rock,Numb,Linkin Park,1971,8.8,312261594,The Notebook,Jane Heller,Romance,8
"The Good, the Bad and the Ugly",Western,8.9,2016,latin pop,Dimelo,Marc,1969,8.8,038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,Fiction,7.9
12 Angry Men,Crime,8.9,2016,rock,Stairway to Heaven,peaches  herb,1967,8.8,345465083,Pride and Prejudice,LAURA HILLENBRAND,Romance,7.9
Inception,Action,8.8,2016,teen pop,Heart attack,Demi Lovato,1965,8.8,679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,Fiction,7.8
Forrest Gump,Comedy,8.8,2016,teen pop,Dont Stop,5 seconds of Summer,2014,8.7,1879384493,The Strannger Beside Me,J. R. Parrish,Crime,7.8
Star Wars: Episode V- The Empire Strikes Back,Action,8.8,2016,teen pop,Back to you,Selena Gomez,2012,8.7,61076031,Mary-Kate &amp, Ashley Switching Goals ,Fiction,7.8
Daredevil,Action,8.8,2016,pop,Closer,The Chainsmokers,2016,8.7,671888587,I'll Be Seeing You,Mary Higgins Clark,Fiction,7.8
It's Always Sunny in Philadelphia,Comedy,8.8,2016,teen pop,What makes you beautiful,One Direction,2008,8.7,812575954,The Deal,Joe Hutsko,Fiction,7.8
A Beginner's Guide to Snuff,Comedy,8.7,2016,pop,Hello,adele,2011,8.7,316735736,Helter Skelter,Anita Shreve,Crime,7.8
Queen of the Mountains,Action,8.7,2016,teen pop,my front porch looking in,lonestar,2003,8.7,375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,Fiction,7.8
Butterfly Girl,Documentary,8.7,2016,teen pop,Night changes,george strait,2000,8.7,9724119378,And then there were none,Roy,Crime,7.8
The Lord of the Rings: The Two Towers,Action,8.7,2016,country,Friends in Low Places,soul for real,1995,8.7,1900850303,The Angelic Darkness,Richard Zimler,Fiction,7.8
City of God,Crime,8.7,2016,country,He stopped loving her today,kenny loggins,1984,8.7,1903019699,The Soulbane Stratagem,Norman Jetmundsen,Fiction,7.8
Goodfellas,Biography,8.7,2016,country,I walk the line,golden earring,1983,8.7,440949424,The Girl with Dragon Tattoo,LOIS DUNCAN,Crime,7.8
Star Wars: Episode IV- A New Hope,Action,8.7,2016,country,Ring of fire,john lennon,1981,8.7,505524996,Contact,Susan Grant,Fiction,7.8
One Flew Over the Cuckoo's Nest,Drama,8.7,2016,jazz,So what,ike  tina turner,1971,8.7,385337639,Me Before You,Mary Lawson,Romance,7.8
Seven Samurai,Action,8.7,2016,pop rock,Viva la Vida,Coldplay,2008,8.7,039575514X,My Antonia,Willa Cather,Crime,7.8
Friday Night Lights,Drama,8.7,2016,pop,bailando,Enrique iglesias ,2014,8.6,345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,Fiction,7.8
The Honeymooners,Comedy,8.7,2016,teen pop,day n nite,kid cudi,2009,8.6,553278223,The Martian Chronicles,RAY BRADBURY,Crime,7.8
Gomorrah,Crime,8.7,2016,rap,Mask Off,fat joe featuring nelly,2005,8.6,3257214154,Familientreffen. Erzï¿½?¤hlungen.,Ray Bradbury,Fiction,7.8
Running Forever,Family,8.6,2016,teen pop,i know what you want,busta rhymes and mariah carey featuring flipmode squad,2003,8.6,3257216416,Der Tod kommt schnell in Mexico. Erzï¿½?¤hlungen.,Ray Bradbury,Fiction,7.8
