,antecedents,consequents,confidence
0,srap,bCrime,1
1,srap,bCrime,1
2,mMystery,bSuspense,1
4,mThriller,srock,1
5,mThriller,srock,1
6,bNon-Fiction,mBiography,1
7,mBiography,bNon-Fiction,1
8,bNon-Fiction,mBiography,1
9,mBiography,bNon-Fiction,1
10,mBiography,scountry,1
11,mMystery,bSuspense,1
12,mMystery,bSuspense,1
13,bRomance ,steen pop,1
14,spop ,bFiction,1
15,mAdventure ,spop,1
16,spop rock,bCrime,1
17,mThriller,srock,1
18,bNon-Fiction ,scountry,1
19,bNon-Fiction ,mBiography,1
20,mBiography ,bNon-Fiction,1
21,bNon-Fiction,mBiography ,1
22,mBiography,bNon-Fiction ,1
23,bNon-Fiction,scountry,1
24,bNon-Fiction,scountry,1
25,sjazz,mDrama,1
26,sjazz,mDrama,1
27,mMystery,spop,1
28,bNon-Fiction,mBiography,1
29,mBiography,bNon-Fiction,1
30,bFiction ,mAnimation,1
31,bFiction ,mAnimation,1
32,slatin pop,bRomance,1
34,mBiography,scountry,1
35,mBiography,scountry,1
36,mFamily,bFiction,1
37,mFamily,bFiction,1
38,mHorror,bSuspense,1
39,mHorror,bSuspense,1
40,mDrama ,bFiction,1
41,mDrama ,bFiction,1
42,mDrama ,bFiction,1
43,mDrama ,bFiction,1
44,spop ,bSuspense,1
45,spop ,mMystery,1
46,mMystery ,spop,1
47,mMystery,spop ,1
48,mComedy ,bFiction,1
49,mComedy ,bRomance,1
50,mComedy ,bRomance,1
51,mDocumentary ,bCrime,1
52,bNon-Fiction,scountry,1
53,sEDM ,bSuspense,1
54,sEDM ,mHorror,1
57,spop ,bFiction,1
58,spop ,bFiction,1
59,bFiction ,mAnimation,1
60,spop rock,bCrime,1
61,spop rock,bCrime,1
62,sEDM ,bSuspense,1
63,sEDM ,mHorror,1
64,sEDM ,bSuspense,1
65,sEDM ,mHorror,1
66,spop rock,bCrime,1
67,spop rock,bCrime,1
68,srap ,bCrime,1
69,mAdventure ,srap,1
70,srap ,bCrime,1
71,mAdventure ,srap,1
72,sjazz,mDrama,1
73,s,b,1
74,b,s,1
75,s,b,1
76,b,s,1
77,mComedy ,bRomance,1
78,mComedy ,bRomance,1
79,spop ,bFiction,1
80,mAdventure ,spop,1
81,spop ,bFiction,1
82,mAdventure ,spop,1
83,bRomance ,steen pop,1
84,bRomance ,steen pop,1
85,mThriller,bThriller,1
86,mAction ,bRomance,1
87,mAction ,slatin pop,1
88,bThriller ,srock,1
89,bThriller ,mThriller,1
90,mThriller ,bThriller,1
91,mThriller,bThriller ,1
92,mDrama ,bFiction,1
93,slatin pop,bRomance,1
94,slatin pop,bRomance,1
95,mDocumentary ,bCrime,1
96,mDocumentary ,bCrime,1
97,srap ,bCrime,1
98,mAdventure ,srap,1
99,s ,b,1
100,b ,s,1
101,m,s ,1
102,s ,b,1
103,b ,s,1
104,m,s ,1
105,m,s,1
106,m,s,1
107,spop ,bFiction,1
108,mComedy ,bFiction,1
109,mComedy ,bFiction,1
110,mMystery,spop,1
111,mMystery,spop,1
112,mComedy ,bRomance,1
113,mDrama ,bFiction,1
114,sjazz ,mDrama,1
115,sjazz,mDrama ,1
116,mDrama ,bFiction,1
117,sjazz ,mDrama,1
118,sjazz,mDrama ,1
119,mComedy ,bCrime,1
120,mComedy ,bCrime,1
121,s ,b,1
122,b ,s,1
123,m,s ,1
124,bNon-Fiction ,scountry,1
125,bNon-Fiction ,mBiography,1
126,mBiography ,bNon-Fiction,1
127,bNon-Fiction,mBiography ,1
128,mBiography,bNon-Fiction ,1
129,bNon-Fiction ,scountry,1
130,bNon-Fiction ,mBiography,1
131,mBiography ,bNon-Fiction,1
132,bNon-Fiction,mBiography ,1
133,mBiography,bNon-Fiction ,1
134,spop ,bSuspense,1
135,spop ,mMystery,1
136,mMystery ,spop,1
137,mMystery,spop ,1
138,spop ,bSuspense,1
139,spop ,mMystery,1
140,mMystery ,spop,1
141,mMystery,spop ,1
142,mAction ,bRomance,1
143,mAction ,slatin pop,1
144,mAction ,bRomance,1
145,mAction ,slatin pop,1
146,mHorror,bSuspense,1
147,s,b,1
148,b,s,1
149,sjazz,bFiction,1
150,spop rock,bCrime,1
151,sjazz,bFiction,1
152,sjazz,bFiction,1
153,mThriller,bThriller,1
154,mThriller,bThriller,1
155,mDrama ,bFiction,1
156,sjazz ,mDrama,1
157,sjazz,mDrama ,1
158,mFamily,bFiction,1
159,bThriller ,srock,1
160,bThriller ,mThriller,1
161,mThriller ,bThriller,1
162,mThriller,bThriller ,1
163,bThriller ,srock,1
164,bThriller ,mThriller,1
165,mThriller ,bThriller,1
166,mThriller,bThriller ,1
167,mComedy ,bRomance,1
168,mDrama ,bFiction,1
169,srap,bCrime,1
170,mComedy ,bCrime,1
171,s,m,0.998977243671695
172,b,m,0.998977243671695
173,b,m,0.998977243671695
174,b,m,0.998977243671695
175,s ,m,0.998977243671695
176,s,b ,0.998977243671695
177,b,s ,0.998977243671695
178,s ,m,0.998977243671695
179,s,b ,0.998977243671695
180,b,s ,0.998977243671695
181,s,m,0.998977243671695
182,s,m,0.998977243671695
183,s ,m,0.998977243671695
184,s,b ,0.998977243671695
185,b,s ,0.998977243671695
186,spop ,bFiction,0.989304812834224
187,mAction ,spop,0.989304812834224
188,spop ,bFiction,0.989304812834224
189,mAction ,spop,0.989304812834224
190,spop ,bFiction,0.989304812834224
191,mAction ,spop,0.989304812834224
192,mAnimation,steen pop,0.988235294117647
193,mAnimation,steen pop,0.988235294117647
194,mAnimation,steen pop,0.988235294117647
195,sEDM,bSuspense,0.968503937007874
196,mHorror ,sEDM,0.968503937007874
197,sEDM,mHorror ,0.968503937007874
198,mHorror,sEDM ,0.968503937007874
199,mHorror ,sEDM,0.968503937007874
200,sEDM,mHorror ,0.968503937007874
201,mHorror,sEDM ,0.968503937007874
202,mHorror ,sEDM,0.968503937007874
203,sEDM,mHorror ,0.968503937007874
204,mHorror,sEDM ,0.968503937007874
205,sEDM,bSuspense,0.968503937007874
206,sEDM,bSuspense,0.968503937007874
207,sEDM,mHorror,0.968503937007874
208,mHorror,sEDM,0.968503937007874
209,sEDM,mHorror,0.968503937007874
210,mHorror,sEDM,0.968503937007874
211,sEDM,mHorror,0.968503937007874
212,mHorror,sEDM,0.968503937007874
213,spop rock,mCrime,0.967741935483871
214,bCrime ,mCrime,0.967741935483871
215,bCrime ,spop rock,0.967741935483871
216,spop rock,bCrime ,0.967741935483871
217,bCrime ,mCrime,0.967741935483871
218,bCrime ,spop rock,0.967741935483871
219,spop rock,bCrime ,0.967741935483871
220,spop rock,mCrime,0.967741935483871
221,spop rock,mCrime,0.967741935483871
222,bCrime ,mCrime,0.967741935483871
223,bCrime ,spop rock,0.967741935483871
224,spop rock,bCrime ,0.967741935483871
225,bFiction ,steen pop,0.96551724137931
226,bFiction ,steen pop,0.96551724137931
227,bFiction ,steen pop,0.96551724137931
228,mDrama,bFiction,0.960869565217391
229,mDrama,bFiction,0.960869565217391
230,mDrama,bFiction,0.960869565217391
231,mAdventure,bCrime,0.959537572254335
232,mAdventure,srap,0.959537572254335
233,mAdventure,srap,0.959537572254335
234,mAdventure,srap ,0.959537572254335
235,mAdventure,srap ,0.959537572254335
236,mAdventure,bCrime,0.959537572254335
237,mAdventure,bCrime,0.959537572254335
238,mAdventure,srap ,0.959537572254335
